% Model,20220721_CounterPump6.mph
% Version,COMSOL 6.0.0.318
% Date,"Jul 28 2022, 09:27"
% Dimension,3
% Nodes,200
% Expressions,1
% Description,
% Length unit,cm
% X,Y,Z,Rop (1/s)
0,0,1.0326633165829144,164.7172768514562
0,0,1.0477386934673367,167.02075654812944
0,0,1.0628140703517586,169.3277221181097
0,0,1.0778894472361809,171.63807750839726
0,0,1.0929648241206027,173.95173159702745
0,0,1.108040201005025,176.2685977885956
0,0,1.1231155778894473,178.5885936518467
0,0,1.1381909547738691,180.91164059455693
0,0,1.1532663316582914,183.2376635714794
0,0,1.1683417085427132,185.5665908216229
0,0,1.1834170854271355,187.89835363156115
0,0,1.1984924623115578,190.23288612185803
0,0,1.2135678391959797,192.57012505403205
0,0,1.228643216080402,194.91000965578553
0,0,1.2437185929648238,197.25248146248475
0,0,1.258793969849246,199.59748417311866
0,0,1.2738693467336684,201.94496351916266
0,0,1.2889447236180902,204.2948671449604
0,0,1.3040201005025125,206.64714449839735
0,0,1.3190954773869343,209.00174673077763
0,0,1.3341708542713566,211.35862660494658
0,0,1.349246231155779,213.71773841080415
0,0,1.3643216080402008,216.07903788745864
0,0,1.379396984924623,218.44248215135084
0,0,1.3944723618090453,220.8080296297542
0,0,1.4095477386934672,223.17563999912778
0,0,1.4246231155778895,225.54527412785126
0,0,1.4396984924623113,227.91689402292786
0,0,1.4547738693467336,230.29046278028383
0,0,1.4698492462311559,232.66594453833463
0,0,1.4849246231155777,235.04330443452557
0,0,1.5,237.42250856458006
